source_prefix	doid	mondo	efo	mesh	ncit	orphanet	orphanet.ordo	umls	omim	omim.ps	gard	icd10	icd10cm	icd10pcs	icd11	icd11.code	icd9	icd9cm	icdo
doid	14372	12435	1447	807	5317	3030	0	10026	6300	91	2625	1628	3980	0	1192	0	2479	2807	643
mondo	12435	30086	2031	1169	7821	10963	0	22876	10726	620	11109	3001	4157	0	4260	0	4589	2542	806
efo	1447	2031	2126	460	1359	536	0	2797	391	29	437	856	1190	0	530	0	1366	812	99
mesh	807	1169	460	3178	576	264	0	2704	91	4	228	446	895	0	324	0	674	654	4
ncit	5317	7821	1359	576	20522	957	0	21169	406	37	943	1564	2208	0	1028	0	1546	1593	536
orphanet	3030	10963	536	264	957	15230	0	10545	11728	57	1952	7957	1226	0	1117	0	681	679	97
orphanet.ordo	0	0	0	0	0	0	15590	0	0	0	0	0	0	0	0	0	0	0	0
umls	10026	22876	2797	2704	21169	10545	0	189003	13529	128	3136	7345	26041	0	2898	0	3915	9702	632
omim	6300	10726	391	91	406	11728	0	13529	15286	77	580	525	471	0	361	0	321	299	25
omim.ps	91	620	29	4	37	57	0	128	77	594	38	20	34	0	28	0	15	18	0
gard	2625	11109	437	228	943	1952	0	3136	580	38	6109	703	1227	0	909	0	635	713	107
icd10	1628	3001	856	446	1564	7957	0	7345	525	20	703	2345	4473	0	1068	0	1798	2338	82
icd10cm	3980	4157	1190	895	2208	1226	0	26041	471	34	1227	4473	21760	0	1532	0	2298	3582	108
icd10pcs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
icd11	1192	4260	530	324	1028	1117	0	2898	361	28	909	1068	1532	0	71175	0	1026	1021	75
icd11.code	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
icd9	2479	4589	1366	674	1546	681	0	3915	321	15	635	1798	2298	0	1026	0	3993	2404	44
icd9cm	2807	2542	812	654	1593	679	0	9702	299	18	713	2338	3582	0	1021	0	2404	9134	49
icdo	643	806	99	4	536	97	0	632	25	0	107	82	108	0	75	0	44	49	797
