source_prefix	doid	mondo	efo	mesh	ncit	orphanet	orphanet.ordo	umls	omim	omim.ps	gard	icd10	icd10cm	icd10pcs	icd11	icd11.code	icd9	icd9cm	icdo
doid	14372	11867	1243	629	4640	2219	0	6778	5901	0	2141	0	3541	0	2	0	11	2227	488
mondo	11867	30086	1448	864	7150	10344	0	19272	10041	599	10730	208	2561	0	4164	0	4418	2	725
efo	1243	1448	2126	434	1104	361	0	1335	317	23	289	525	293	0	410	0	1194	5	62
mesh	629	864	434	3178	27	171	0	2124	0	0	0	0	0	0	0	0	0	0	0
ncit	4640	7150	1104	27	20522	37	0	19442	0	0	0	0	0	0	0	0	0	0	0
orphanet	2219	10344	361	171	37	15230	0	8782	11625	5	38	7879	0	0	1	0	5	0	1
orphanet.ordo	0	0	0	0	0	0	15590	0	0	0	0	0	0	0	0	0	0	0	0
umls	6778	19272	1335	2124	19442	8782	0	189003	13406	0	0	5662	25135	0	0	0	0	9005	0
omim	5901	10041	317	0	0	11625	0	13406	15286	0	0	0	0	0	0	0	0	0	0
omim.ps	0	599	23	0	0	5	0	0	0	594	0	0	0	0	0	0	0	0	0
gard	2141	10730	289	0	0	38	0	0	0	0	6109	0	0	0	0	0	0	0	0
icd10	0	208	525	0	0	7879	0	5662	0	0	0	2345	0	0	0	0	0	0	0
icd10cm	3541	2561	293	0	0	0	0	25135	0	0	0	0	21760	0	0	0	0	0	0
icd10pcs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
icd11	2	4164	410	0	0	1	0	0	0	0	0	0	0	0	71175	0	0	0	0
icd11.code	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
icd9	11	4418	1194	0	0	5	0	0	0	0	0	0	0	0	0	0	3993	0	0
icd9cm	2227	2	5	0	0	0	0	9005	0	0	0	0	0	0	0	0	0	9134	0
icdo	488	725	62	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	797
