source_prefix	doid	mondo	efo	mesh	ncit	orphanet	orphanet.ordo	umls	omim	omim.ps	gard	icd10	icd10cm	icd10pcs	icd11	icd11.code	icd9	icd9cm	icdo
doid	14220	11536	1055	296	1746	0	440	3040	523	49	51	9	384	0	0	0	0	7	1
mondo	11536	29826	1399	868	7141	0	9585	19286	9870	586	3	18	1143	0	0	0	0	3	0
efo	1055	1399	2121	400	924	0	268	1322	101	22	0	7	279	0	0	0	0	0	0
mesh	296	868	400	3178	355	0	123	303	16	2	0	2	187	0	0	0	0	0	0
ncit	1746	7141	924	355	20522	0	429	2200	127	23	3	6	420	0	0	0	0	2	0
orphanet	0	0	0	0	0	8481	0	0	0	0	0	0	0	0	0	0	0	0	0
orphanet.ordo	440	9585	268	123	429	0	15507	694	104	32	3	0	155	0	0	0	0	2	0
umls	3040	19286	1322	303	2200	0	694	187376	1063	53	3	6	368	0	0	0	0	1	0
omim	523	9870	101	16	127	0	104	1063	20576	3	2	0	41	0	0	0	0	1	0
omim.ps	49	586	22	2	23	0	32	53	3	588	2	0	7	0	0	0	0	1	0
gard	51	3	0	0	3	0	3	3	2	2	6132	0	2	0	0	0	0	2	0
icd10	9	18	7	2	6	0	0	6	0	0	0	2345	9	0	0	0	0	0	0
icd10cm	384	1143	279	187	420	0	155	368	41	7	2	9	21714	0	0	0	0	2	0
icd10pcs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
icd11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71175	0	0	0	0
icd11.code	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
icd9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3985	0	0
icd9cm	7	3	0	0	2	0	2	1	1	1	2	0	2	0	0	0	0	9236	0
icdo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	804
