source_prefix	doid	mondo	efo	mesh	ncit	orphanet	orphanet.ordo	umls	omim	omim.ps	gard	icd10	icd10cm	icd10pcs	icd11	icd11.code	icd9	icd9cm	icdo
doid	13333	11015	488	626	4635	0	2176	6785	6162	0	2049	0	3526	0	6	0	11	2238	433
mondo	11015	24645	559	858	7148	0	9604	19277	9993	581	10435	18	1601	0	4145	0	4399	2	732
efo	488	559	813	279	366	0	115	497	131	8	118	331	117	0	184	0	475	1	25
mesh	626	858	279	3178	27	0	1	2125	0	0	0	0	0	0	0	0	0	0	0
ncit	4635	7148	366	27	20522	0	37	19398	0	0	0	0	0	0	0	0	0	0	0
orphanet	0	0	0	0	0	15590	0	8481	0	0	0	0	0	0	0	0	0	0	0
orphanet.ordo	2176	9604	115	1	37	0	14618	8264	11425	4	38	7887	0	0	5530	0	5	0	1
umls	6785	19277	497	2125	19398	8481	8264	187376	18390	0	0	6264	25143	0	0	0	0	9107	0
omim	6162	9993	131	0	0	0	11425	18390	20592	0	0	0	0	0	0	0	0	0	0
omim.ps	0	581	8	0	0	0	4	0	0	588	0	0	0	0	0	0	0	0	0
gard	2049	10435	118	0	0	0	38	0	0	0	6116	0	0	0	0	0	0	0	0
icd10	0	18	331	0	0	0	7887	6264	0	0	0	7006	0	0	0	0	0	0	0
icd10cm	3526	1601	117	0	0	0	0	25143	0	0	0	0	21714	0	0	0	0	0	0
icd10pcs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
icd11	6	4145	184	0	0	0	5530	0	0	0	0	0	0	0	6501	0	0	0	0
icd11.code	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
icd9	11	4399	475	0	0	0	5	0	0	0	0	0	0	0	0	0	3976	0	0
icd9cm	2238	2	1	0	0	0	0	9107	0	0	0	0	0	0	0	0	0	9236	0
icdo	433	732	25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	804
