source_prefix	ncbigene	hgnc	mgi	rgd	cgnc	wormbase	flybase	sgd	omim	civic.gid	umls	ncit	wikidata
ncbigene	56689711	44352	111826	48330	26070	0	0	0	18589	623	0	5957	788878
hgnc	44352	44117	0	0	0	0	0	0	17871	624	0	5978	44622
mgi	111826	0	661778	0	0	0	0	0	0	0	0	0	71593
rgd	48330	0	0	61462	0	0	0	0	0	0	0	0	0
cgnc	26070	0	0	0	26085	0	0	0	0	0	0	0	1
wormbase	0	0	0	0	0	0	0	0	0	0	0	0	0
flybase	0	0	0	0	0	0	17871	0	0	0	0	0	0
sgd	0	0	0	0	0	0	0	6600	0	0	0	0	0
omim	18589	17871	0	0	0	0	0	0	27277	624	0	5850	28470
civic.gid	623	624	0	0	0	0	0	0	624	901	0	580	632
umls	0	0	0	0	0	0	0	0	0	0	1	0	0
ncit	5957	5978	0	0	0	0	0	0	5850	580	0	12711	6007
wikidata	788878	44622	71593	0	1	0	0	0	28470	632	0	6007	797957
