source_prefix	doid	mondo	efo	mesh	ncit	orphanet	orphanet.ordo	umls	omim	omim.ps	gard	icd10	icd10cm	icd10pcs	icd11	icd9	icd9cm	icdo
doid	11537	11324	2271	4611	5040	358	2426	7639	5938	37	2110	7	3583	0	1	0	2237	470
mondo	11324	24099	3225	8247	7560	2048	9559	16239	9872	580	11839	15	1657	0	0	4343	2	732
efo	2271	3225	2082	1176	2363	240	324	2877	870	45	733	804	476	0	0	1766	7	323
mesh	4611	8247	1176	3120	1260	395	440	14514	1045	16	0	3	381	0	0	0	0	0
ncit	5040	7560	2363	1260	20094	411	415	29351	129	17	1	6	460	0	0	0	0	0
orphanet	358	2048	240	395	411	15348	2159	9479	136	23	0	0	140	0	0	0	0	0
orphanet.ordo	2426	9559	324	440	415	2159	0	9147	11166	26	0	7623	151	0	5484	0	0	0
umls	7639	16239	2877	14514	29351	9479	9147	178734	106315	47	1	5768	97617	191546	0	0	22406	0
omim	5938	9872	870	1045	129	136	11166	106315	0	0	1	0	38	0	0	0	0	0
omim.ps	37	580	45	16	17	23	26	47	0	576	0	0	5	0	0	0	0	0
gard	2110	11839	733	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
icd10	7	15	804	3	6	0	7623	5768	0	0	0	2345	7	0	0	0	0	0
icd10cm	3583	1657	476	381	460	140	151	97617	38	5	0	7	0	0	0	0	0	0
icd10pcs	0	0	0	0	0	0	0	191546	0	0	0	0	0	0	0	0	0	0
icd11	1	0	0	0	0	0	5484	0	0	0	0	0	0	0	69477	0	0	0
icd9	0	4343	1766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
icd9cm	2237	2	7	0	0	0	0	22406	0	0	0	0	0	0	0	0	0	0
icdo	470	732	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
