source_prefix	ncbigene	hgnc	mgi	rgd	cgnc	wormbase	flybase	sgd	omim	civic.gid	umls	ncit	wikidata
ncbigene	47782242	44190	76239	48324	25931	0	0	0	18253	528	0	5877	788875
hgnc	44190	43865	0	0	0	0	0	0	17533	491	0	5893	43557
mgi	76239	0	682164	0	0	0	0	0	0	0	0	0	0
rgd	48324	0	0	61339	0	0	0	0	0	0	0	0	0
cgnc	25931	0	0	0	25936	0	0	0	0	0	0	0	0
wormbase	0	0	0	0	0	0	0	0	0	0	0	0	0
flybase	0	0	0	0	0	0	17883	0	0	0	0	0	0
sgd	0	0	0	0	0	0	0	6600	0	0	0	0	0
omim	18253	17533	0	0	0	0	0	0	26952	491	0	5757	28143
civic.gid	528	491	0	0	0	0	0	0	491	506	0	457	491
umls	0	0	0	0	0	0	0	0	0	0	3185657	0	0
ncit	5877	5893	0	0	0	0	0	0	5757	457	0	181982	5880
wikidata	788875	43557	0	0	0	0	0	0	28143	491	0	5880	797967
