source_prefix	ncbigene	hgnc	mgi	rgd	cgnc	wormbase	flybase	sgd	omim	civic.gid	umls	ncit	wikidata
ncbigene	56689711	44400	111826	48330	26070	0	0	0	18594	622	0	5957	788878
hgnc	44400	44244	0	0	0	0	0	0	17876	623	0	5978	44670
mgi	111826	0	661778	0	0	0	0	0	0	0	0	0	71593
rgd	48330	0	0	61462	0	0	0	0	0	0	0	0	0
cgnc	26070	0	0	0	26085	0	0	0	0	0	0	0	1
wormbase	0	0	0	0	0	0	0	0	0	0	0	0	0
flybase	0	0	0	0	0	0	17871	0	0	0	0	0	0
sgd	0	0	0	0	0	0	0	6600	0	0	0	0	0
omim	18594	17876	0	0	0	0	0	0	27282	623	0	5850	28475
civic.gid	622	623	0	0	0	0	0	0	623	903	0	579	631
umls	0	0	0	0	0	0	0	0	0	0	1	0	0
ncit	5957	5978	0	0	0	0	0	0	5850	579	0	12711	6007
wikidata	788878	44670	71593	0	1	0	0	0	28475	631	0	6007	797957
